"","ModelNumber","modelName","variable","effect","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC"
"138",29,"Precip x MAT change Tundra","units","residual",0.324732906944222,0.275097385198279,0.379532556027152,3400,NA
"139",30,"Precip x MAT change Savanna","(Intercept)","fixed",0.223335592183618,-0.0261079562515079,0.469914450892247,4613.24622097113,0.0735294117647058
"140",30,"Precip x MAT change Savanna","estimate","fixed",-2.05331862313067,-7.23225711406849,3.51779730264388,3400,0.458235294117647
"141",30,"Precip x MAT change Savanna","precip","fixed",0.000238443221763844,4.38636925537139e-06,0.000479093227113481,3400.00000000001,0.0494117647058823
"142",30,"Precip x MAT change Savanna","estimate:precip","fixed",3.53833610187802e-05,-0.00600286461121868,0.00621433035121299,3043.82587120576,1
"143",30,"Precip x MAT change Savanna","(Intercept):(Intercept).geo.coords","random",0.147213047013849,0.0537635678047026,0.256432398263748,3400.00000000001,NA
"144",30,"Precip x MAT change Savanna","units","residual",0.596952802251247,0.538038037654611,0.655807743438791,3350.36654042149,NA
"145",31,"Temperature x MAP change Tundra","(Intercept)","fixed",0.202783603742466,0.0231948500077124,0.376617735848413,3399.99999999999,0.0258823529411765
"146",31,"Temperature x MAP change Tundra","estimate","fixed",0.0510877572791553,-0.0799543900502613,0.200508556369641,3400,0.475294117647059
"147",31,"Temperature x MAP change Tundra","tempc","fixed",0.00457524808110584,-0.015240891763824,0.0254016875842353,3400,0.66
"148",31,"Temperature x MAP change Tundra","estimate:tempc","fixed",0.00803529108122974,-0.0179374769650167,0.0357802068465389,3400,0.555294117647059
"149",31,"Temperature x MAP change Tundra","(Intercept):(Intercept).geo.coords","random",0.0641798212653577,0.0105852627790318,0.138836305682596,3400,NA
"150",31,"Temperature x MAP change Tundra","units","residual",0.345743562835111,0.288075103924424,0.399950672745251,3803.46791006489,NA
"151",32,"Temperature x MAP change Savanna","(Intercept)","fixed",-0.0361881701725012,-0.902099269471364,0.884165335955913,3234.75632587697,0.938235294117647
"152",32,"Temperature x MAP change Savanna","estimate","fixed",-0.0363686499091727,-0.595138125550875,0.478986640227959,3400.00000000001,0.878823529411765
"153",32,"Temperature x MAP change Savanna","tempc","fixed",0.0163913482262558,-0.022368715290213,0.0498286283109337,3399.99999999999,0.392352941176471
"154",32,"Temperature x MAP change Savanna","estimate:tempc","fixed",0.00377149112688325,-0.0184992844588123,0.0250857877981616,3400,0.726470588235294
"155",32,"Temperature x MAP change Savanna","(Intercept):(Intercept).geo.coords","random",0.152636964699252,0.0608307316404545,0.271268298978862,2818.57588861346,NA
"156",32,"Temperature x MAP change Savanna","units","residual",0.596773135945117,0.541539846382377,0.663401059043152,3526.66024591398,NA
"157",33,"Precip x MAP change Savanna","(Intercept)","fixed",0.281176109723507,-0.0121113516215701,0.596565163839841,3324,0.0716004813477737
"158",33,"Precip x MAP change Savanna","tempc","fixed",0.0096204016882065,-0.016496769952937,0.0377791157494052,3324.00000000001,0.487966305655836
"159",33,"Precip x MAP change Savanna","precip","fixed",-9.52566535317926e-05,-0.000408452382544056,0.00025445031496929,2705.54343152875,0.561973525872443
"160",33,"Precip x MAP change Savanna","tempc:precip","fixed",-1.2870473145529e-06,-4.53186803497374e-05,4.34522444265895e-05,3324,0.956678700361011
"161",33,"Precip x MAP change Savanna","(Intercept):(Intercept).geo.coords","random",0.055523524505565,1.05161988140769e-12,0.120551813562022,635.531130324019,NA
"162",33,"Precip x MAP change Savanna","units","residual",0.348054872115162,0.291876516139844,0.406371279727767,945.916283447456,NA
"163",34,"Precip x MAP change Tundra","(Intercept)","fixed",0.798878902668556,-0.776394763583085,2.44216237598448,3324,0.324308062575211
"164",34,"Precip x MAP change Tundra","tempc","fixed",-0.0250662092098522,-0.089882239641156,0.0381306880162811,3502.86316807341,0.435018050541516
"165",34,"Precip x MAP change Tundra","precip","fixed",-0.00125127776134566,-0.00280078294963459,0.000294107137960964,3324,0.117930204572804
"166",34,"Precip x MAP change Tundra","tempc:precip","fixed",6.19580906984576e-05,-1.08694439404644e-06,0.000125334365293384,3324,0.0667870036101084
"167",34,"Precip x MAP change Tundra","(Intercept):(Intercept).geo.coords","random",0.144650627336968,0.0580902125110005,0.263925426420654,3267.87773406352,NA
"168",34,"Precip x MAP change Tundra","units","residual",0.593126552468359,0.532890726038798,0.651859227517385,3463.30095517567,NA
"169",35,"Temperature x MAT change Savanna","(Intercept)","fixed",0.374196551964208,0.219849941655411,0.543582713551586,3400,0.000294117647058824
"170",35,"Temperature x MAT change Savanna","estimate","fixed",-3.23104501093262,-4.81998739647679,-1.60094238592137,3400,0.000294117647058824
"171",35,"Temperature x MAT change Savanna","(Intercept):(Intercept).geo.coords","random",0.0632377507979175,0.00779347401414642,0.13392380552985,3400,NA
"172",35,"Temperature x MAT change Savanna","units","residual",0.326688746154909,0.275026520856207,0.379125905751611,3400.00000000001,NA
"173",36,"Temperature x MAT change Tundra","(Intercept)","fixed",0.406761014408207,0.233008773248002,0.597648398048477,3400,0.000294117647058824
"174",36,"Temperature x MAT change Tundra","estimate","fixed",-1.67557473334957,-4.37414479792278,1.07051359090838,3571.34491032123,0.237058823529412
"175",36,"Temperature x MAT change Tundra","(Intercept):(Intercept).geo.coords","random",0.162675535336073,0.0608822322604219,0.284092093888099,3121.24410379144,NA
"176",36,"Temperature x MAT change Tundra","units","residual",0.596372870608248,0.536704210526001,0.656159200042172,3400,NA
"177",37,"Increasing cover means","(Intercept)","fixed",0.632362762445557,0.567635658328072,0.696235112147406,3324.00000000001,0.000300842358604091
"178",37,"Increasing cover means","Biome_typeTundra","fixed",-0.256179979369402,-0.367667540645925,-0.134916154664097,3324,0.000300842358604091
"179",37,"Increasing cover means","units","residual",0.553179589419506,0.501141057752884,0.612076619165961,3323.99999999999,NA
"180",38,"Stable cover means","(Intercept)","fixed",0.000326574675053343,-0.00107823686266784,0.00158040574751794,3324,0.617328519855596
"181",38,"Stable cover means","Biome_typeTundra","fixed",0.000708337505382444,-0.0014568735496141,0.00261000185855664,3324,0.487966305655836
"182",38,"Stable cover means","units","residual",2.10818008733486e-05,1.49793208960461e-05,2.81281690949404e-05,3324.00000000001,NA
"183",39,"Decreasing cover means","(Intercept)","fixed",-0.409477221984782,-0.485613465178176,-0.338792790396838,3029.25748979599,0.000300842358604091
"184",39,"Decreasing cover means","Biome_typeTundra","fixed",0.0426240198470253,-0.102816738159163,0.198816890340822,3324,0.581829121540313
"185",39,"Decreasing cover means","units","residual",0.29544752144288,0.244503477752273,0.34511100936623,3324.00000000001,NA
"186",40,"Overall cover change means","(Intercept)","fixed",0.321125461723065,0.267937096919923,0.377240229936433,3324.00000000001,0.000300842358604091
"187",40,"Overall cover change means","Biome_typeTundra","fixed",-0.14089142301762,-0.241856557669962,-0.0356574230318074,3323.99999999999,0.00842358604091456
"188",40,"Overall cover change means","units","residual",0.625592135975953,0.573469949280773,0.677499715598659,3324,NA
"189",41,"Study duration means","(Intercept)","fixed",16.9485284157281,15.8489548267989,18.0749880297517,3029.05804423208,0.000300842358604091
"190",41,"Study duration means","Biome_typeTundra","fixed",4.42579596670065,2.4664013281581,6.73873714957153,3324,0.000300842358604091
"191",41,"Study duration means","units","residual",274.764496662012,251.572171153903,298.654888009485,3323.99999999999,NA
"192",42,"MAT change","Biome_typeSavanna","fixed",0.0124341756893479,0.00988717922882643,0.0150215471512638,3324,0.000300842358604091
"193",42,"MAT change","Biome_typeTundra","fixed",0.0581167027408946,0.0541638236754807,0.062418205292488,3324,0.000300842358604091
"194",42,"MAT change","units","residual",0.00137117963819077,0.00125760318567389,0.00148708891906272,3323.99999999999,NA
